Time	 Wall Temp	 Sample Temp
2026-05-04 13:17:18.862936	 297.4976	 298.1656
2026-05-04 13:17:19.900428	 297.7401	 298.2865
2026-05-04 13:17:20.973290	 297.6607	 298.1656
2026-05-04 13:17:22.025108	 297.7107	 298.2426
2026-05-04 13:17:23.082639	 297.5549	 298.1216
2026-05-04 13:17:24.119182	 297.9164	 298.0117
2026-05-04 13:17:25.142832	 297.8392	 298.3635
2026-05-04 13:17:26.180211	 297.5858	 297.9567
2026-05-04 13:17:27.202716	 297.6166	 298.1876
2026-05-04 13:17:28.227013	 297.5784	 298.1986
2026-05-04 13:17:29.264153	 297.7313	 298.2975
2026-05-04 13:17:30.287481	 297.5968	 298.0667
2026-05-04 13:17:31.326386	 297.8062	 298.3415
2026-05-04 13:17:32.364180	 297.7511	 298.4845
2026-05-04 13:17:33.387244	 297.7841	 298.4405
2026-05-04 13:17:34.425433	 297.6666	 298.2074
2026-05-04 13:17:35.463905	 297.7489	 298.2316
2026-05-04 13:17:36.501188	 297.5417	 297.9677
2026-05-04 13:17:37.589304	 297.8503	 298.0226
2026-05-04 13:17:38.629340	 297.7048	 298.4185
2026-05-04 13:17:39.682458	 297.8282	 298.2755
2026-05-04 13:17:40.704004	 297.8547	 298.4536
2026-05-04 13:17:41.728230	 297.6299	 298.2756
2026-05-04 13:17:42.766537	 297.7511	 298.1216
2026-05-04 13:17:43.805407	 297.8062	 298.4515
2026-05-04 13:17:44.844236	 297.8194	 298.5284
2026-05-04 13:17:45.882222	 297.5931	 298.4955
2026-05-04 13:17:46.921641	 297.8106	 298.1876
2026-05-04 13:17:47.976817	 297.8943	 298.1986
2026-05-04 13:17:49.031373	 297.7291	 298.2645
2026-05-04 13:17:50.067886	 297.8282	 298.3855
2026-05-04 13:17:51.089897	 297.793	 298.3195
2026-05-04 13:17:52.113510	 297.7841	 298.3833
2026-05-04 13:17:53.151286	 297.7489	 298.4515
2026-05-04 13:17:54.173487	 297.7841	 298.5394
2026-05-04 13:17:55.196894	 297.718	 298.4405
